,Iteration Count,Input Expression,Current Cost,Expand ?	,Expression to Process,selected_rand_comb,Rand El 1,Rand El 2,Matched Variable,Loop Reduced Expression,law_replace,New Expression,"New Cost"
0,0,a'b'c'+ab'c'+ab'c+abc',12,False,a'b'c'+ab'c'+ab'c+abc',M1M3,ab'c',abc',ac',ac'(b'+b),ac',a'b'c'+ab'c+ac',8
1,1,a'b'c'+ab'c+ac',8,False,a'b'c'+ab'c+ac',M1M2,ab'c,ac',a,a(b'c+c'),a(b'c+c'),a'b'c'+a(b'c+c'),7
2,2,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
3,3,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
4,4,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
5,5,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
6,6,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
7,7,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
8,8,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
9,9,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
10,10,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
11,11,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
12,12,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
13,13,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
14,14,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
15,15,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
16,16,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
17,17,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
18,18,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
19,19,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
20,20,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
21,21,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
22,22,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
23,23,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
